pgc,Name,J2000,UGC/AGC,Alt_Name,RAJ,DeJ,Ty,r23.5,r83L,mu_out,ell,e_ell,PA,e_PA,tf,Wtf,e_Wtf,m_obs,e_m,m_c,M_I,e_MI,gamma,inc,Vcmb,Vpec,e_Vp,Dist,Vp_b,e_Vpb,D_bias,Gp_ID,O/H,Theta,Cluster,mem,RAJg,DeJg,Vcmbg,e_Vg,Ng,Na,Vpg,e_Vpg,Dg,Vpg_b,e_Vpgb,Dg_b,Int_ID
83405,2MASXJ10583696,J105836.9+012517,200752,A1139-24,"10 58 36.9","+01 25 17",3,,,,,,,,,2.528,0.025,14.92,,14.57,-20.82,0.08,1.00,75.6,11744,-672,2632,12416,-105,2499,11849,,O,,,,,,,,,,,,,,,,
83408,SDSSJ105901.02,J105901.0+012445,200760,A1139-21,"10 59 01.4","+01 24 43",5,,,,,,,,,2.427,0.027,15.62,,15.18,-20.42,0.09,1.00,68.6,12897,847,2753,12050,1199,2359,11698,,O,,,,,,,,,,,,,,,,
83412,2MASXJ10590914,J105909.1+012300,200765,A1139-15,"10 59 09.1","+01 22 00",5,,,,,,,,,2.452,0.026,14.92,,14.63,-20.85,0.08,1.00,56.0,12220,1958,2278,10262,1691,2380,10529,,O,,,,,,,,,,,,,,,,
83413,PGC083413,J105910.7+013622,200768,A1139-35,"10 59 10.6","+01 36 22",3,24.2,17.0,24.49,0.726,0.023,178,1,*,,,14.42,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83419,2MASXJ10594067,J105940.6+012712,200788,A1139-18,"10 59 40.6","+01 27 11",4,,,,,,,,,2.476,0.017,14.95,,14.68,-20.86,0.08,1.00,55.8,12550,1114,2367,11436,1236,2274,11314,,O,,,,,,,,,,,,,,,,
83425,SDSSJ110001.08,J110001.1+013732,200799,A1139-33,"11 00 00.9","+01 37 31",6,,,,,,,,,2.401,0.024,15.42,,15.08,-20.56,0.08,1.00,61.5,13143,2628,2370,10515,2144,2079,10999,,O,,,,,,,,,,,,,,,,
83466,PGC083466,J111055.3+282810,210128,A1185-13,"11 10 55.2","+28 28 09",3,23.4,16.8,23.66,0.615,0.020,140,4,*,,,14.15,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83697,PGC083697,J125746.6-173012,520500,A1644-51,"12 57 46.8","-17 30 11",5,17.8,13.0,24.38,0.619,0.031,124,0,,2.616,0.048,14.65,0.04,14.25,-21.42,0.08,1.00,68.8,13293,-2243,3909,15536,309,3761,12984,,O,,,,,,,,,,,,,,,,
83709,PGC083709,J125759.9-173523,520501,A1644-40,"12 58 00.1","-17 35 23",6,13.1,10.7,24.15,0.540,0.017,145,2,,2.449,0.029,15.52,0.03,15.05,-20.55,0.10,1.00,65.0,12899,600,2823,12299,-27,2613,12926,,O,,,,,,,,,,,,,,,,
83732,PGC083732,J125921.2-173849,520306,A1644-26,"12 59 20.8","-17 38 46",3,13.8,11.7,24.41,0.548,0.018,85,1,,2.468,0.056,15.53,0.04,15.12,-20.71,0.10,1.00,65.6,14291,1142,3794,13149,1046,3177,13245,,O,,,,,,,,,,,,,,,,
83761,PGC083761,J130211.9+281023,221465,A1656202,"13 02 11.6","+28 10 20",6,16.1,14.2,24.01,0.338,0.025,9,4,,2.170,0.062,15.05,0.05,14.91,-19.40,0.07,0.62,49.9,9214,,,,,,,,H,33.5,Coma,c,"12 59 48.7","+27 58 50",7185,,34,43,619,165,6566,361,142,6824,2493
83769,PGC083769,J130253.4+281838,230020,A1656222,"13 02 53.2","+28 18 47",5,16.3,15.2,23.78,0.397,0.016,70,5,*,,,15.16,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83956,PGC083956,J132415.4-265254,530503,A1736132,"13 24 15.3","-26 52 55",3,8.4,5.8,23.32,0.350,0.046,75,1,*,,,15.68,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83958,PGC083958,J132420.3-270240,530506,A1736115,"13 24 20.2","-27 02 37",5,15.7,15.6,24.63,0.354,0.027,5,7,,2.446,0.053,14.99,0.05,14.68,-20.43,0.10,1.00,50.3,10366,37,2915,10329,-359,3060,10725,,O,,,,,,,,,,,,,,,,
83960,PGC083960,J132434.4-270912,530484,A1736-92,"13 24 34.2","-27 09 12",3,12.8,9.1,24.55,0.507,0.015,122,1,,2.497,0.020,15.22,0.04,14.89,-20.75,0.09,1.00,62.6,13123,134,2718,12989,620,2741,12503,,O,,,,,,,,,,,,,,,,
83962,PGC083962,J132451.2-262452,530485,A1736169,"13 24 51.7","-26 24 54",4,15.9,12.4,25.40,0.436,0.060,66,1,,2.344,0.051,14.70,0.04,14.37,-20.76,0.09,1.00,56.4,10433,4238,1780,6195,4129,2169,6304,,O,,,,,,,,,,,,,,,,
83963,PGC083963,J132457.7-273235,530486,A1736-23,"13 24 57.2","-27 32 30",5,21.3,17.1,23.86,0.510,0.006,49,1,,2.538,0.030,14.44,0.04,14.07,-21.01,0.08,1.00,61.5,10201,-658,2373,10859,-169,2348,10370,,O,,,,,,,,,,,,,,,,
83965,PGC083965,J132508.1-274910,530487,A1736-4,"13 25 07.6","-27 49 11",5,21.8,13.5,24.14,0.730,0.042,83,0,,2.549,0.027,14.54,0.02,13.99,-21.29,0.09,1.00,76.2,11153,287,2306,10866,921,2218,10232,,O,,,,,,,,,,,,,,,,
83991,PGC083991,J132722.7-270330,530505,A1736111,"13 27 22.9","-27 03 33",3,13.9,11.9,24.23,0.494,0.035,123,0,,2.338,0.088,15.25,0.05,14.93,-20.39,0.09,1.00,61.7,11391,3375,3176,8016,2454,3567,8937,,O,,,,,,,,,,,,,,,,
84004,PGC084004,J132807.3-270114,530458,,"13 28 07.3","-27 01 13",5,13.3,8.9,24.64,0.405,0.015,35,2,,2.423,0.042,14.69,0.03,14.37,-20.81,0.09,1.00,54.2,11215,2442,2131,8248,2216,2483,8474,1736,O,,,,"13 26 52.1","-27 06 33",10690,8,10,11,-1235,817,11925,-390,817,11080,2541
84007,PGC084007,J132812.3-271037,530574,A1736-84,"13 28 12.4","-27 10 40",2,16.6,12.2,23.28,0.436,0.062,164,3,*,,,14.52,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84008,PGC084008,J132826.2-264814,530504,A1736135,"13 28 26.8","-26 48 12",3,17.1,15.6,25.00,0.716,0.033,11,2,,2.358,0.022,15.90,0.04,15.40,-20.66,0.11,1.00,78.1,15847,5366,2431,10481,4435,2695,11412,,O,,,,,,,,,,,,,,,,
84012,PGC084012,J132847.0-273906,530491,A1736-10,"13 28 46.6","-27 39 12",5,11.8,10.6,24.87,0.130,0.054,52,31,*,,,15.27,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84013,PGC084013,J132852.0-273854,530492,A1736-9,"13 28 51.7","-27 38 53",3,12.7,10.0,25.30,0.188,0.050,63,87,*,,,14.74,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84016,PGC084016,J132905.8-271047,530465,,"13 29 05.8","-27 10 45",5,20.2,15.7,23.49,0.589,0.016,42,1,,2.508,0.021,14.60,0.04,14.18,-21.00,0.09,1.00,66.8,10861,431,2144,10259,675,2108,10015,1736,O,,,,"13 26 52.1","-27 06 33",10690,8,10,11,-1235,817,11925,-390,817,11080,2541
84020,PGC084020,J132936.4-275000,530494,A1736-1,"13 29 35.7","-27 50 04",3,11.9,7.7,23.73,0.328,0.015,128,4,,2.550,0.038,14.60,0.03,14.40,-20.83,0.07,1.00,49.1,10911,-1432,2866,12343,-133,2649,11044,,O,,,,,,,,,,,,,,,,
84309,2MASXJ14495928,J144959.3+164416,240746,A1983-72,"14 49 59.3","+16 44 16",5,,,,,,,,,2.453,0.035,15.52,,15.06,-20.40,0.09,1.00,69.9,12089,-470,3001,12559,-172,2710,12261,,H,,,,,,,,,,,,,,,,
84332,2MASXJ14522928,J145229.3+162052,240825,A1983-14,"14 52 29.3","+16 20 52",4,,,,,,,,,2.560,0.015,14.86,,14.57,-21.16,0.06,1.00,66.0,13712,-1041,2836,14753,132,2874,13580,,O,,,,,,,,,,,,,,,,
84335,2MASXJ14524547,J145245.5+164924,240840,A1983-75,"14 52 45.4","+16 49 24",5,,,,,,,,,2.591,0.014,14.81,,14.49,-21.28,0.06,1.00,68.5,13935,-1943,2969,15878,-325,3063,14260,,O,,,,,,,,,,,,,,,,
84478,AGC250260,J151202.9+065555,250260,A2040-05,"15 12 02.8","+06 55 54",3,,,,,,,,,2.473,0.027,15.83,,15.48,-20.33,0.09,1.00,69.7,14128,-1577,3501,15705,1153,3168,12975,,O,,,,,,,,,,,,,,,,
84483,2MASXJ15121126,J151211.2+073352,250266,A2040-72,"15 12 11.2","+07 33 51",3,,,,,,,,,2.620,0.050,14.64,,14.08,-21.69,0.11,1.00,86.7,13924,667,3420,13257,2147,2767,11777,,O,,,,,,,,,,,,,,,,
84519,2MASXJ15132872,J151328.7+065928,250336,A2040-13,"15 13 28.7","+06 59 28",5,,,,,,,,,2.563,0.033,15.00,,14.72,-21.01,0.06,1.00,59.5,13678,-2296,3515,15974,451,3235,13227,,O,,,,,,,,,,,,,,,,
84532,AGC250367,J151425.0+073656,250367,A2040-73,"15 14 24.7","+07 36 52",10,,,,,,,,,2.299,0.030,15.86,,15.53,-20.17,0.07,0.95,60.7,13515,4582,2214,8933,2983,1488,10532,,O,,,,,,,,,,,,,,,,
84559,AGC251811,J152051.6+083728,251811,A2063-66,"15 20 51.6","+08 37 24",5,,,,,,,,,2.396,0.026,15.51,,15.19,-19.72,0.08,0.76,59.6,9439,-1472,2499,10911,-1881,1777,11320,,O,,,,,,,,,,,,,,,,
84572,PGC084572,J152212.7+084603,250584,A2063-96,"15 22 12.7","+08 46 03",4,22.5,15.5,23.24,0.579,0.030,174,2,*,,,14.17,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84622,2MASXJ15240202,J152402.0+081855,250716,A2063-19,"15 24 01.9","+08 18 55",5,,,,,,,,,2.623,0.012,15.37,,14.79,-22.12,0.10,1.11,78.6,23156,3026,3713,20130,6202,4490,16954,,O,,,,,,,,,,,,,,,,
84708,PGC084708,J160410.3+171218,260946,A2151-05,"16 04 10.1","+17 12 23",5,15.2,12.2,24.12,0.736,0.025,159,1,*,,,15.65,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84710,PGC084710,J160420.4+172611,260081,,"16 04 20.3","+17 26 13",4,18.1,13.2,24.69,0.709,0.024,103,2,*,,,15.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84718,PGC084718,J160458.4+181113,261209,A2151129,"16 04 58.3","+18 11 14",3,22.6,18.7,23.44,0.751,0.027,77,1,*,,,15.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84826,2MASXJ17032243,J170322.4+784656,270364,,"17 03 22.0","+78 46 56",3,,,,,,,,,2.590,0.014,15.65,,15.15,-21.38,0.10,1.00,81.7,19567,57,3723,19510,2166,4280,17401,,O,,,,,,,,,,,,,,,,
84864,2MASXJ17090975,J170909.8+785232,270144,A2256137,"17 09 07.6","+78 52 33",4,,,,,,,,,2.560,0.020,14.72,,14.32,-22.11,0.07,1.11,69.9,18696,5708,2583,12988,6073,2937,12623,,O,,,,,,,,,,,,,,,,
84867,2MASXJ17093986,J170939.5+783308,270385,,"17 09 37.3","+78 32 45",3,,,,,,,,,2.649,0.024,14.74,,14.50,-21.59,0.06,1.00,58.3,16057,-1518,3392,17575,250,3486,15807,,O,,,,,,,,,,,,,,,,
84931,PGC084931,J204810.4-522932,600237,D2048158,"20 48 09.5","-52 29 28",5,11.7,15.6,23.85,0.299,0.032,109,7,,2.348,0.080,15.73,0.06,15.52,-20.33,0.09,1.00,46.0,14432,3837,3917,10595,1892,4081,12540,,O,,,,,,,,,,,,,,,,
84933,PGC084933,J204847.7-522333,600238,D2048168,"20 48 47.2","-52 23 28",3,12.5,8.9,24.33,0.496,0.028,179,0,,2.489,0.031,15.12,0.02,14.84,-21.01,0.08,1.00,61.8,14466,2100,2794,12366,1975,2870,12491,,O,,,,,,,,,,,,,,,,
84948,AGC600251,J204944.6-515658,600251,,"20 49 44.3","-51 56 58",3,,,,,,,,,2.598,0.017,13.82,,13.40,-21.51,0.09,1.00,79.9,9440,352,1746,9088,540,2013,8900,,O,,,,,,,,,,,,,,,,
84949,PGC084949,J204951.1-525512,600231,D2048-52,"20 49 50.5","-52 55 13",7,16.9,13.1,24.32,0.727,0.033,128,2,,2.425,0.022,15.43,0.04,14.83,-20.67,0.11,1.00,79.1,12338,2124,2281,10214,1592,2633,10746,,O,,,,,,,,,,,,,,,,
84957,2MASXJ20502701,J205027.0-520312,600259,,"20 50 26.8","-52 03 11",3,,,,,,,,,2.439,0.018,15.62,,15.32,-20.40,0.08,1.00,63.1,14349,446,2813,13171,18,2423,13599,3716,O,,,,"20 51 32.7","-52 42 43",13617,7,14,14,341,778,13276,950,757,12667,2834
